Page,Full URL,Google Search URL,Bing Search URL,Google Indexed?,Bing Indexed?,Notes,Check Date
"/esperanto-translator","https://vibetrans.com/esperanto-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fesperanto-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fesperanto-translator",,,,"2025-10-18"
"/gaster-translator","https://vibetrans.com/gaster-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fgaster-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fgaster-translator",,,,"2025-10-18"
"/gen-alpha-translator","https://vibetrans.com/gen-alpha-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fgen-alpha-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fgen-alpha-translator",,,,"2025-10-18"
"/gen-z-translator","https://vibetrans.com/gen-z-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fgen-z-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fgen-z-translator",,,,"2025-10-18"
"/gibberish-translator","https://vibetrans.com/gibberish-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fgibberish-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fgibberish-translator",,,,"2025-10-18"
"/high-valyrian-translator","https://vibetrans.com/high-valyrian-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fhigh-valyrian-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fhigh-valyrian-translator",,,,"2025-10-18"
"/ivr-translator","https://vibetrans.com/ivr-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fivr-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fivr-translator",,,,"2025-10-18"
"/middle-english-translator","https://vibetrans.com/middle-english-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fmiddle-english-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fmiddle-english-translator",,,,"2025-10-18"
"/minion-translator","https://vibetrans.com/minion-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fminion-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fminion-translator",,,,"2025-10-18"
"/pig-latin-translator","https://vibetrans.com/pig-latin-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fpig-latin-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fpig-latin-translator",,,,"2025-10-18"
"/samoan-to-english-translator","https://vibetrans.com/samoan-to-english-translator","https://www.google.com/search?q=site%3Avibetrans.com%2Fsamoan-to-english-translator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fsamoan-to-english-translator",,,,"2025-10-18"
"/verbose-generator","https://vibetrans.com/verbose-generator","https://www.google.com/search?q=site%3Avibetrans.com%2Fverbose-generator","https://www.bing.com/search?q=site%3Avibetrans.com%2Fverbose-generator",,,,"2025-10-18"
