Page URL,Full URL,Google Search Link,Bing Search Link,Google Indexed?,Bing Indexed?,Google Position,Bing Position,Notes,Last Checked
"/esperanto-translator","https://vibetrans.com/esperanto-translator","https://www.google.com/search?q=site:vibetrans.com%2Fesperanto-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fesperanto-translator",,,,,,,""
"/gaster-translator","https://vibetrans.com/gaster-translator","https://www.google.com/search?q=site:vibetrans.com%2Fgaster-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fgaster-translator",,,,,,,""
"/gen-alpha-translator","https://vibetrans.com/gen-alpha-translator","https://www.google.com/search?q=site:vibetrans.com%2Fgen-alpha-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fgen-alpha-translator",,,,,,,""
"/gen-z-translator","https://vibetrans.com/gen-z-translator","https://www.google.com/search?q=site:vibetrans.com%2Fgen-z-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fgen-z-translator",,,,,,,""
"/gibberish-translator","https://vibetrans.com/gibberish-translator","https://www.google.com/search?q=site:vibetrans.com%2Fgibberish-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fgibberish-translator",,,,,,,""
"/high-valyrian-translator","https://vibetrans.com/high-valyrian-translator","https://www.google.com/search?q=site:vibetrans.com%2Fhigh-valyrian-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fhigh-valyrian-translator",,,,,,,""
"/ivr-translator","https://vibetrans.com/ivr-translator","https://www.google.com/search?q=site:vibetrans.com%2Fivr-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fivr-translator",,,,,,,""
"/middle-english-translator","https://vibetrans.com/middle-english-translator","https://www.google.com/search?q=site:vibetrans.com%2Fmiddle-english-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fmiddle-english-translator",,,,,,,""
"/minion-translator","https://vibetrans.com/minion-translator","https://www.google.com/search?q=site:vibetrans.com%2Fminion-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fminion-translator",,,,,,,""
"/pig-latin-translator","https://vibetrans.com/pig-latin-translator","https://www.google.com/search?q=site:vibetrans.com%2Fpig-latin-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fpig-latin-translator",,,,,,,""
"/samoan-to-english-translator","https://vibetrans.com/samoan-to-english-translator","https://www.google.com/search?q=site:vibetrans.com%2Fsamoan-to-english-translator","https://www.bing.com/search?q=site:vibetrans.com%2Fsamoan-to-english-translator",,,,,,,""
"/verbose-generator","https://vibetrans.com/verbose-generator","https://www.google.com/search?q=site:vibetrans.com%2Fverbose-generator","https://www.bing.com/search?q=site:vibetrans.com%2Fverbose-generator",,,,,,,""
